Model name,Model type,Folder,Topo_Precision,Topo_Recall,Topo_F1,Trivial_Precision,Trivial_Recall,Trivial_F1,Macro avg Precision,Macro Avg Recall,Macro Avg F1,Accuracy,SSIM,RMSE,LPIPS
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_62\trained_model,bs=64_perturb=True_lr=1e-04,0.646,0.994,0.734,0.811,0.433,0.481,0.728,0.713,0.607,0.661,0.388,0.341,0.472
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_63\trained_model,bs=64_perturb=True_lr=1e-04,0.750,0.921,0.764,0.927,0.699,0.729,0.839,0.810,0.746,0.754,0.471,0.251,0.233
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_64\trained_model,bs=64_perturb=True_lr=1e-04,0.563,1.000,0.683,0.398,0.239,0.268,0.480,0.619,0.475,0.578,0.319,0.429,0.621
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_65\trained_model,bs=64_perturb=True_lr=1e-04,0.579,0.999,0.695,0.995,0.297,0.365,0.787,0.648,0.530,0.606,0.317,0.405,0.460
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_66\trained_model,bs=64_perturb=True_lr=1e-04,0.579,0.993,0.688,0.431,0.266,0.291,0.505,0.629,0.489,0.588,0.328,0.418,0.603
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_67\trained_model,bs=64_perturb=True_lr=1e-04,0.817,0.953,0.852,0.952,0.873,0.903,0.885,0.913,0.878,0.892,0.648,0.114,0.085
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_68\trained_model,bs=64_perturb=True_lr=1e-04,0.522,1.000,0.655,0.262,0.145,0.166,0.392,0.573,0.410,0.533,0.282,0.477,0.666
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_69\trained_model,bs=64_perturb=True_lr=1e-04,0.566,0.999,0.684,0.405,0.245,0.275,0.486,0.622,0.480,0.581,0.323,0.427,0.615
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_7\trained_model,bs=64_perturb=True_lr=1e-04,0.946,0.600,0.721,0.760,0.995,0.855,0.853,0.797,0.788,0.830,0.424,0.202,0.189
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_70\trained_model,bs=64_perturb=True_lr=1e-04,0.956,0.587,0.708,0.757,0.996,0.854,0.857,0.792,0.781,0.828,0.411,0.206,0.206
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_71\trained_model,bs=64_perturb=True_lr=1e-04,0.581,0.997,0.693,0.509,0.281,0.318,0.545,0.639,0.506,0.597,0.332,0.410,0.601
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_72\trained_model,bs=64_perturb=True_lr=1e-04,0.686,0.997,0.769,0.997,0.585,0.686,0.842,0.791,0.728,0.742,0.414,0.267,0.246
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_73\trained_model,bs=64_perturb=True_lr=1e-04,0.535,0.991,0.657,0.257,0.164,0.176,0.396,0.578,0.417,0.538,0.287,0.470,0.660
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_74\trained_model,bs=64_perturb=True_lr=1e-04,0.728,0.139,0.203,0.584,1.000,0.724,0.656,0.569,0.463,0.611,0.211,0.441,0.543
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_75\trained_model,bs=64_perturb=True_lr=1e-04,0.819,0.821,0.767,0.843,0.874,0.837,0.831,0.848,0.802,0.815,0.490,0.197,0.242
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_76\trained_model,bs=64_perturb=True_lr=1e-04,0.514,1.000,0.648,0.222,0.125,0.141,0.368,0.562,0.395,0.523,0.275,0.488,0.673
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_77\trained_model,bs=64_perturb=True_lr=1e-04,0.889,0.373,0.460,0.683,1.000,0.799,0.786,0.687,0.629,0.736,0.296,0.309,0.382
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_78\trained_model,bs=64_perturb=True_lr=1e-04,0.753,0.220,0.298,0.615,1.000,0.748,0.684,0.610,0.523,0.654,0.231,0.397,0.506
Final_training_run\bs=64_perturb=True_lr=1e-04\final_run_79\trained_model,bs=64_perturb=True_lr=1e-04,0.898,0.769,0.821,0.831,0.973,0.893,0.864,0.871,0.857,0.880,0.560,0.134,0.115
